 ,Label,Area,Mean
360,107_10.tif_C1:Nucleus-C1,1.291,2085.681
361,107_11.tif_C2:Nucleus-C2,1.777,1529.784
362,107_11.tif_C2:Intersection-C2,0.559,1568.016
363,107_11.tif_C1:Nucleus-C1,1.676,1883.470
364,107_11.tif_C1:Intersection-C1,0.266,1923.897
365,107_12.tif_C2:Nucleus-C2,1.978,1430.523
366,107_12.tif_C2:Intersection-C2,0.760,1478.699
367,107_12.tif_C1:Nucleus-C1,1.557,1843.365
368,107_12.tif_C1:Intersection-C1,0.476,1670.654
369,107_13.tif_C2:Nucleus-C2,1.832,1498.125
370,107_13.tif_C2:Intersection-C2,0.467,1640.725
371,107_13.tif_C1:Nucleus-C1,1.621,1907.051
372,107_13.tif_C1:Intersection-C1,0.211,1940.609
373,107_14.tif_C2:Nucleus-C2,1.795,1530.566
374,107_14.tif_C2:Intersection-C2,0.357,1398.897
375,107_14.tif_C1:Nucleus-C1,1.594,1947.494
376,107_14.tif_C1:Intersection-C1,0.128,1646.857
377,107_15.tif_C2:Nucleus-C2,1.795,1492.112
378,107_15.tif_C2:Intersection-C2,0.275,1364.967
379,107_15.tif_C1:Nucleus-C1,1.813,1824.157
380,107_15.tif_C1:Intersection-C1,0.110,1325.000
381,107_16.tif_C2:Nucleus-C2,1.649,1588.183
382,107_16.tif_C2:Intersection-C2,0.110,1468.333
383,107_16.tif_C1:Nucleus-C1,1.594,1910.707
384,107_16.tif_C1:Intersection-C1,0.018,1588.000
385,107_17.tif_C2:Nucleus-C2,1.548,1581.112
386,107_17.tif_C2:Intersection-C2,0.238,1295.654
387,107_19.tif_C2:Nucleus-C2,1.676,1488.464
388,107_19.tif_C2:Intersection-C2,0.421,1381.196
389,107_19.tif_C1:Nucleus-C1,1.557,1929.924
390,107_19.tif_C1:Intersection-C1,0.165,1729.833
391,107_20.tif_C2:Nucleus-C2,1.850,1358.847
392,107_20.tif_C2:Intersection-C2,0.705,1483.039
393,107_20.tif_C1:Nucleus-C1,1.759,1757.198
394,107_20.tif_C1:Intersection-C1,0.440,1942.292
395,109_00.tif_C2:Nucleus-C2,1.621,2903.689
396,109_00.tif_C2:Intersection-C2,0.302,2758.818
397,109_00.tif_C1:Nucleus-C1,1.612,2658.301
398,109_00.tif_C1:Intersection-C1,0.339,2681.297
399,109_01.tif_C2:Nucleus-C2,1.575,2903.349
400,109_01.tif_C2:Intersection-C2,0.247,2914.593
401,109_01.tif_C1:Nucleus-C1,1.566,2808.620
402,109_01.tif_C1:Intersection-C1,0.302,2606.970
403,109_02.tif_C2:Nucleus-C2,1.649,2788.489
404,109_02.tif_C2:Intersection-C2,0.302,2419.758
405,109_02.tif_C1:Nucleus-C1,1.594,2641.598
406,109_02.tif_C1:Intersection-C1,0.321,2369.657
407,109_03.tif_C2:Nucleus-C2,1.484,2847.185
408,109_03.tif_C2:Intersection-C2,0.430,2760.915
409,109_03.tif_C1:Nucleus-C1,1.603,2672.377
410,109_03.tif_C1:Intersection-C1,0.604,2428.439
411,109_04.tif_C2:Nucleus-C2,1.410,2989.117
412,109_04.tif_C2:Intersection-C2,0.229,2834.200
413,109_04.tif_C1:Nucleus-C1,1.475,2762.845
414,109_04.tif_C1:Intersection-C1,0.302,2460.545
415,109_05.tif_C2:Nucleus-C2,1.511,2883.515
416,109_05.tif_C2:Intersection-C2,0.485,2745.113
417,109_05.tif_C1:Nucleus-C1,1.465,2664.562
418,109_05.tif_C1:Intersection-C1,0.467,2590.157
419,109_06.tif_C2:Nucleus-C2,1.630,2657.562
420,109_06.tif_C2:Intersection-C2,0.403,2727.659
421,109_06.tif_C1:Nucleus-C1,1.365,2644.752
422,109_06.tif_C1:Intersection-C1,0.339,2643.432
423,109_07.tif_C2:Nucleus-C2,1.621,2774.322
424,109_07.tif_C2:Intersection-C2,0.394,2915.023
425,109_07.tif_C1:Nucleus-C1,1.557,2630.771
426,109_07.tif_C1:Intersection-C1,0.467,2824.235
427,109_08.tif_C2:Nucleus-C2,1.438,2855.643
428,109_08.tif_C2:Intersection-C2,0.412,3280.689
429,109_08.tif_C1:Nucleus-C1,1.557,2722.471
430,109_08.tif_C1:Intersection-C1,0.595,2959.892
431,109_09.tif_C2:Nucleus-C2,1.658,2643.171
432,109_09.tif_C2:Intersection-C2,0.540,2799.203
433,109_09.tif_C1:Nucleus-C1,1.594,2607.833
434,109_09.tif_C1:Intersection-C1,0.604,2932.227
435,109_10.tif_C2:Nucleus-C2,1.493,2616.190
436,109_10.tif_C2:Intersection-C2,0.385,2802.048
437,109_10.tif_C1:Nucleus-C1,1.511,2664.842
438,109_10.tif_C1:Intersection-C1,0.403,3028.773
439,109_11.tif_C2:Nucleus-C2,1.337,2757.822
440,109_11.tif_C2:Intersection-C2,0.394,3046.442
441,109_11.tif_C1:Nucleus-C1,1.530,2776.826
442,109_11.tif_C1:Intersection-C1,0.440,2982.083
443,109_12.tif_C2:Nucleus-C2,1.511,2595.394
444,109_12.tif_C2:Intersection-C2,0.476,2838.558
445,109_12.tif_C1:Nucleus-C1,1.401,2698.771
446,109_12.tif_C1:Intersection-C1,0.458,3192.080
447,109_13.tif_C2:Nucleus-C2,1.594,2489.218
448,109_13.tif_C2:Intersection-C2,0.357,2890.308
449,109_13.tif_C1:Nucleus-C1,1.410,2725.013
450,109_13.tif_C1:Intersection-C1,0.440,2917.854
451,109_15.tif_C2:Nucleus-C2,1.557,2601.129
452,109_15.tif_C2:Intersection-C2,0.614,2823.149
