 ,Label,Area,Mean
297,13_01.tif_C2:Nucleus-C2,3.371,1703.848
298,13_01.tif_C2:Intersection-C2,0.953,1823.702
299,13_01.tif_C1:Nucleus-C1,2.684,1926.352
300,13_01.tif_C1:Intersection-C1,0.953,2083.673
301,13_02.tif_C2:Nucleus-C2,3.197,1725.074
302,13_02.tif_C2:Intersection-C2,0.861,1795.234
303,13_02.tif_C1:Nucleus-C1,2.583,1960.291
304,13_02.tif_C1:Intersection-C1,0.907,2056.566
305,13_03.tif_C2:Nucleus-C2,2.913,1725.585
306,13_03.tif_C2:Intersection-C2,0.742,1794.309
307,13_03.tif_C1:Nucleus-C1,2.949,1874.478
308,13_03.tif_C1:Intersection-C1,0.806,1992.023
309,13_04.tif_C2:Nucleus-C2,3.664,1614.190
310,13_04.tif_C2:Intersection-C2,0.971,1679.925
311,13_04.tif_C1:Nucleus-C1,3.389,1775.222
312,13_04.tif_C1:Intersection-C1,0.980,1925.907
313,13_05.tif_C2:Nucleus-C2,3.306,1619.440
314,13_05.tif_C2:Intersection-C2,1.007,1802.764
315,13_05.tif_C1:Nucleus-C1,2.720,1911.229
316,13_05.tif_C1:Intersection-C1,1.026,2145.946
317,13_06.tif_C2:Nucleus-C2,3.407,1621.164
318,13_06.tif_C2:Intersection-C2,1.017,1818.820
319,13_06.tif_C1:Nucleus-C1,2.610,1955.989
320,13_06.tif_C1:Intersection-C1,1.026,2179.768
321,13_08.tif_C2:Nucleus-C2,2.903,1667.492
322,13_08.tif_C2:Intersection-C2,0.852,1770.054
323,13_08.tif_C1:Nucleus-C1,2.867,1900.760
324,13_08.tif_C1:Intersection-C1,0.916,2021.030
325,13_09.tif_C2:Nucleus-C2,3.297,1632.869
326,13_09.tif_C2:Intersection-C2,1.026,1946.312
327,13_09.tif_C1:Nucleus-C1,2.922,1862.458
328,13_09.tif_C1:Intersection-C1,1.026,2121.795
329,13_10.tif_C2:Nucleus-C2,2.839,1682.335
330,13_10.tif_C2:Intersection-C2,1.026,1919.911
331,13_10.tif_C1:Nucleus-C1,2.546,1912.371
332,13_10.tif_C1:Intersection-C1,1.026,2160.839
333,13_11.tif_C2:Nucleus-C2,3.013,1604.754
334,13_11.tif_C2:Intersection-C2,1.026,1847.080
335,13_11.tif_C1:Nucleus-C1,2.638,1905.760
336,13_11.tif_C1:Intersection-C1,0.989,2061.093
337,13_12.tif_C2:Nucleus-C2,3.352,1550.257
338,13_12.tif_C2:Intersection-C2,1.026,1858.152
339,13_12.tif_C1:Nucleus-C1,2.665,1889.825
340,13_12.tif_C1:Intersection-C1,1.026,2142.527
341,13_13.tif_C2:Nucleus-C2,3.233,1573.989
342,13_13.tif_C2:Intersection-C2,1.017,1783.541
343,13_13.tif_C1:Nucleus-C1,2.583,1885.723
344,13_13.tif_C1:Intersection-C1,1.026,2175.741
345,13_14.tif_C2:Nucleus-C2,3.068,1553.110
346,13_14.tif_C2:Intersection-C2,1.026,1722.402
347,13_14.tif_C1:Nucleus-C1,3.022,1800.997
348,13_14.tif_C1:Intersection-C1,1.026,2146.366
349,13_15.tif_C2:Nucleus-C2,2.940,1560.193
350,13_15.tif_C2:Intersection-C2,0.971,1702.896
351,13_15.tif_C1:Nucleus-C1,2.574,1889.801
352,13_15.tif_C1:Intersection-C1,1.026,2133.268
353,13_16.tif_C2:Nucleus-C2,2.821,1534.445
354,13_16.tif_C2:Intersection-C2,1.026,1692.348
355,13_16.tif_C1:Nucleus-C1,2.775,1822.558
356,13_16.tif_C1:Intersection-C1,1.026,2085.045
357,13_17.tif_C2:Nucleus-C2,2.748,1564.523
358,13_17.tif_C2:Intersection-C2,0.934,1681.755
359,13_17.tif_C1:Nucleus-C1,2.766,1794.424
360,13_17.tif_C1:Intersection-C1,1.026,2021.018
361,13_18.tif_C2:Nucleus-C2,3.416,1506.477
362,13_18.tif_C2:Intersection-C2,1.026,1642.062
363,13_18.tif_C1:Nucleus-C1,2.775,1833.274
364,13_18.tif_C1:Intersection-C1,1.017,2120.604
365,13_19.tif_C2:Nucleus-C2,3.261,1494.756
366,13_19.tif_C2:Intersection-C2,0.998,1642.908
367,13_19.tif_C1:Nucleus-C1,2.949,1808.776
368,13_19.tif_C1:Intersection-C1,1.017,2061.946
369,13_20.tif_C2:Nucleus-C2,3.535,1469.684
370,13_20.tif_C2:Intersection-C2,1.026,1622.196
371,13_20.tif_C1:Nucleus-C1,2.977,1819.068
372,13_20.tif_C1:Intersection-C1,1.017,2006.207
373,13_21.tif_C2:Nucleus-C2,3.279,1483.159
374,13_21.tif_C2:Intersection-C2,0.998,1550.312
375,13_21.tif_C1:Nucleus-C1,2.903,1831.265
376,13_21.tif_C1:Intersection-C1,0.953,2011.510
377,14_00.tif_C2:Nucleus-C2,3.206,1928.514
378,14_00.tif_C2:Intersection-C2,0.705,1922.130
379,14_00.tif_C1:Nucleus-C1,2.876,2116.414
380,14_00.tif_C1:Intersection-C1,0.430,1896.681
381,14_01.tif_C2:Nucleus-C2,3.132,1908.246
382,14_01.tif_C2:Intersection-C2,0.833,1911.440
383,14_01.tif_C1:Nucleus-C1,2.940,2071.975
384,14_01.tif_C1:Intersection-C1,0.522,1921.754
385,14_02.tif_C2:Nucleus-C2,3.288,1817.560
386,14_02.tif_C2:Intersection-C2,0.779,1861.871
387,14_02.tif_C1:Nucleus-C1,3.132,1996.035
388,14_02.tif_C1:Intersection-C1,0.559,1751.115
389,14_03.tif_C2:Nucleus-C2,3.334,1810.349
390,14_03.tif_C2:Intersection-C2,0.870,1804.274
391,14_03.tif_C1:Nucleus-C1,3.206,1979.309
392,14_03.tif_C1:Intersection-C1,0.586,1828.406
393,14_04.tif_C2:Nucleus-C2,3.169,1847.156
394,14_04.tif_C2:Intersection-C2,0.788,1864.744
395,14_04.tif_C1:Nucleus-C1,2.848,2041.254
396,14_04.tif_C1:Intersection-C1,0.531,1946.931
397,14_05.tif_C2:Nucleus-C2,3.004,1819.610
398,14_05.tif_C2:Intersection-C2,0.614,1823.269
399,14_05.tif_C1:Nucleus-C1,2.693,2098.296
400,14_05.tif_C1:Intersection-C1,0.339,1891.378
401,14_06.tif_C2:Nucleus-C2,2.748,1957.500
402,14_06.tif_C2:Intersection-C2,0.458,1863.560
403,14_06.tif_C1:Nucleus-C1,2.610,2159.225
404,14_06.tif_C1:Intersection-C1,0.275,1892.400
405,14_07.tif_C2:Nucleus-C2,2.775,1881.158
406,14_07.tif_C2:Intersection-C2,0.467,1819.706
407,14_07.tif_C1:Nucleus-C1,2.739,2167.950
408,14_07.tif_C1:Intersection-C1,0.339,1920.216
409,14_08.tif_C2:Nucleus-C2,3.224,1819.188
410,14_08.tif_C2:Intersection-C2,0.797,1788.977
411,14_08.tif_C1:Nucleus-C1,3.050,2078.508
412,14_08.tif_C1:Intersection-C1,0.485,1912.245
413,14_09.tif_C2:Nucleus-C2,2.931,1864.944
414,14_09.tif_C2:Intersection-C2,0.678,1933.865
415,14_09.tif_C1:Nucleus-C1,2.775,2148.205
416,14_09.tif_C1:Intersection-C1,0.357,1976.051
417,14_10.tif_C2:Nucleus-C2,3.114,1809.703
418,14_10.tif_C2:Intersection-C2,0.742,1726.852
419,14_10.tif_C1:Nucleus-C1,2.665,2087.158
