 ,Label,Area,Mean
459,11_02.tif_C1:Nucleus-C1,2.555,1613.602
460,11_02.tif_C1:Intersection-C1,0.989,1761.583
461,11_03.tif_C2:Nucleus-C2,2.336,1762.486
462,11_03.tif_C2:Intersection-C2,1.007,1950.855
463,11_03.tif_C1:Nucleus-C1,2.482,1593.587
464,11_03.tif_C1:Intersection-C1,0.962,1775.686
465,11_04.tif_C2:Nucleus-C2,2.400,1705.011
466,11_04.tif_C2:Intersection-C2,0.916,1800.380
467,11_04.tif_C1:Nucleus-C1,2.216,1653.066
468,11_04.tif_C1:Intersection-C1,0.943,1786.971
469,11_05.tif_C2:Nucleus-C2,2.555,1679.480
470,11_05.tif_C2:Intersection-C2,1.026,1872.536
471,11_05.tif_C1:Nucleus-C1,2.702,1585.231
472,11_05.tif_C1:Intersection-C1,1.026,1838.402
